League;Stat;Next Match;Odds;Date;adam choi_dados_20251005_000421.csv;Situacao
J League 2;Sagan Tosu have had BTTS in their last 6 league matches;Away vs Renofa Yamaguchi;1.91;Sunday, 05 October 02:00;01/fev;VERDADEIRO
Premier League;Gazovik Orenburg have had BTTS in their last 6 league matches;Home vs Rostov;;Sunday, 05 October 06:00;;
Premier League;Gazovik Orenburg have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Rostov;;Sunday, 05 October 06:00;;
Swedish Superettan;Utsikten have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Oddevold;1.85;Sunday, 05 October 08:00;;
League One;Chongqing Tongliang Long have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Guangxi Baoyun;1.9;Sunday, 05 October 08:30;01/fev;VERDADEIRO
Meistriliiga;Levadia have had BTTS in their last 8 league matches;Home vs Tammeka;2.37;Sunday, 05 October 08:30;6-0;FALSO
Meistriliiga;Levadia have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Tammeka;1.33;Sunday, 05 October 08:30;6-0;VERDADEIRO
League One;Shenzhen Juniors have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Guangzhou E-Power;1.7;Sunday, 05 October 08:30;;
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 8 league matches;Away vs Linkoping W;;Sunday, 05 October 09:00;;
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Linkoping W;;Sunday, 05 October 09:00;;
Liga 1;CFR Cluj have had BTTS in their last 7 league matches;Home vs Hermannstadt;2.0;Sunday, 05 October 09:00;02/jan;VERDADEIRO
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Brommapojkarna W;;Sunday, 05 October 09:00;;
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Brommapojkarna W;;Sunday, 05 October 09:00;;
Premier League;Dynamo Kyiv have had BTTS in their last 6 league matches;Home vs Metalist 1925 Kharkiv;1.8;Sunday, 05 October 09:30;01/jan;VERDADEIRO
Premier League;Dynamo Kyiv have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Metalist 1925 Kharkiv;1.8;Sunday, 05 October 09:30;01/jan;FALSO
Swedish Superettan;Falkenbergs FF have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Orebro SK;1.62;Sunday, 05 October 10:00;;
Allsvenskan Women;Pitea W have Lost their last 6 home league matches;Home vs Djurgarden W;;Sunday, 05 October 10:00;;
Allsvenskan Women;Pitea W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Djurgarden W;;Sunday, 05 October 10:00;;
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Norrköping W;;Sunday, 05 October 10:00;;
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Norrköping W;;Sunday, 05 October 10:00;;
Super Liga;Čukarički have had BTTS in their last 8 league matches;Home vs Javor Ivanjica;2.0;Sunday, 05 October 10:30;;
Superliga;AGF Aarhus have Won their last 7 league matches;Home vs Silkeborg IF;1.49;Sunday, 05 October 11:00;;
First Division B;SK Beveren have Won their last 8 league matches;Away vs Kortrijk;2.7;Sunday, 05 October 11:00;01/mar;VERDADEIRO
Swedish Allsvenskan;IK Sirius have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Malmö FF;1.7;Sunday, 05 October 11:30;;
Norwegian 1. Division;Moss have had BTTS in their last 7 league matches;Away vs Lyn;1.62;Sunday, 05 October 12:00;4-0;FALSO
Norwegian Eliteserien;Strømsgodset IF have had Over 2.5 Match Goalsin their last 6 league matches;Home vs KFUM;1.85;Sunday, 05 October 12:00;;
1. Liga;Miedź Legnica have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Górnik Łęczna;1.7;Sunday, 05 October 12:30;;
Superliga;FC København have had BTTS in their last 7 league matches;Home vs Midtjylland;1.7;Sunday, 05 October 13:00;;
Segunda Division;Santander have had BTTS in their last 7 league matches;Home vs Malaga;1.8;Sunday, 05 October 13:30;3-0;FALSO
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Malaga;1.85;Sunday, 05 October 13:30;3-0;VERDADEIRO
Segunda Liga;Benfica II have had BTTS in their last 6 league matches;Home vs Penafiel;1.8;Sunday, 05 October 14:00;;
Super Liga;Crvena Zvezda have Won their last 8 league matches;Away vs Napredak;1.2;Sunday, 05 October 14:00;0-3;VERDADEIRO
Eredivisie;NEC Nijmegen have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Go Ahead Eagles;1.44;Sunday, 05 October 15:00;01/jan;FALSO
1. SNL;Celje have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Radomlje;1.4;Sunday, 05 October 15:15;0-3;VERDADEIRO
1. SNL;Celje have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Radomlje;1.4;Sunday, 05 October 15:15;0-3;VERDADEIRO
Primera B Nacional;Talleres Remedios de Escalada have Lost their last 6 away league matches;Away vs Almirante Brown;1.81;Sunday, 05 October 15:30;02/jan;VERDADEIRO
La Liga;Celta have had BTTS in their last 6 league matches;Home vs Ath Madrid;1.8;Sunday, 05 October 16:00;01/jan;VERDADEIRO
Iceland Besta Deildin;Víkingur Reykjavík have had BTTS in their last 10 home league matches;Home vs FH;1.61;Sunday, 05 October 16:15;;
Iceland Besta Deildin;Víkingur Reykjavík have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs FH;1.44;Sunday, 05 October 16:15;;
Venezuela Primera Division;Yaracuyanos have Lost their last 7 away league matches;Away vs Estudiantes Mérida;1.36;Sunday, 05 October 16:30;0-2;FALSO
US NWSL;Chicago Red Stars W have had BTTS in their last 8 home league matches;Home vs Utah Royals W;;Sunday, 05 October 17:00;;
Portugese Liga NOS;Porto have Won their last 7 league matches;Home vs Benfica;1.86;Sunday, 05 October 17:15;0-0;FALSO
Colombia Primera B;Leones FC have Lost their last 6 league matches;Away vs Cúcuta Deportivo;1.25;Sunday, 05 October 18:00;;
Primera Division;Peñarol have Won their last 10 home league matches;Home vs Danubio;1.45;Sunday, 05 October 18:00;;
Premier League;Cavalry have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Pacific;1.75;Sunday, 05 October 19:00;;
Serie B;Athletico PR have Won their last 7 league matches;Away vs Atlético GO;2.75;Sunday, 05 October 20:30;;
Swedish Superettan;Örgryte have Won their last 7 away league matches;Away vs Sandviken;1.75;Monday, 06 October 14:00;;
Primera Division;Deportivo Riestra have Won their last 6 home league matches;Home vs Vélez Sarsfield;3.4;Monday, 06 October 19:00;;
US NWSL;Kansas City Current W have Won their last 7 away league matches;Away vs Angel City W;;Monday, 06 October 23:30;;
