League;Stat;Next Match;Odds;Date;Situacao
US MLS;Orlando City SC have had BTTS in their last 14 league matches;Home vs Vancouver Whitecaps;1.50;Saturday, 11 October 20:30;
Toppserien;Brann W have Won their last 10 league matches;Away vs Vålerenga W;;Sunday, 12 October 12:00;
Toppserien;Vålerenga W have Won their last 8 home league matches;Home vs Brann W;;Sunday, 12 October 12:00;
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Sp Gijon;1.70;Sunday, 12 October 11:15;
US MLS;Orlando City SC have had BTTS in their last 8 home league matches;Home vs Vancouver Whitecaps;1.50;Saturday, 11 October 20:30;
Colombia Primera A;Independiente Medellín have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Once Caldas;2.25;Monday, 13 October 19:15;
Colombia Primera A;Independiente Medellín have had BTTS in their last 7 league matches;Away vs Once Caldas;1.83;Monday, 13 October 19:15;
Liga de Expansión MX;Dorados have Lost their last 7 league matches;Home vs Atlante;1.57;Sunday, 12 October 00:00;
US MLS;LA Galaxy have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Dallas;1.36;Saturday, 11 October 23:30;
Colombia Primera A;Boyacá Chicó have Lost their last 6 away league matches;Away vs Fortaleza CEIF;1.80;Monday, 13 October 21:30;
US MLS;Los Angeles FC have Won their last 6 league matches;Away vs Austin;2.35;Sunday, 12 October 20:00;
Primera B Nacional;Estudiantes de Buenos Aires have Won their last 6 home league matches;Home vs Deportivo Maipú;1.57;Sunday, 12 October 17:10;
Premier League;Vancouver FC have had BTTS in their last 6 league matches;Away vs Atlético Ottawa;2.25;Sunday, 12 October 16:00;
Toppserien;Brann W have Won their last 6 away league matches;Away vs Vålerenga W;;Sunday, 12 October 12:00;
League One;Heilongjiang Lava Spring have Won their last 6 home league matches;Home vs Nantong Zhiyun;3.10;Sunday, 12 October 08:30;
Primera Division Women;Barcelona W have Won their last 6 league matches;Away vs Atletico Madrid W;;Sunday, 12 October 07:00;
K League 2;Jeonnam Dragons have had BTTS in their last 6 league matches;Home vs Ansan Greeners;1.83;Sunday, 12 October 02:00;
USL Championship;Louisville City have Won their last 6 league matches;Home vs Miami FC II;1.30;Saturday, 11 October 20:30;
Primera B;Concepcion have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Santiago Wanderers;2.00;Saturday, 11 October 20:00;
